time,reward,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,2.100326591308172,-4.015686495429477e-08,-1.850189501593167e-08,0.06997234939576619,6.283179538808849,1.2154575596667883e-05,0.0,-3.97614020488953e-06,-1.859230050754909e-06,2.3307700080314016,-0.00028914730088092826,0.0006047477567120435,0.0,900.0306595008158,900.0551263521871,900.0816708642327,900.0699729959027
0.12000000000000001,2.1017923772274845,-2.2560355640604493e-06,-7.936178677885136e-07,0.2791019062619972,1.1295407183808948e-05,0.00014105392096297464,0.0,-0.00010572001805397068,-2.3900605054321405e-05,4.63392550452526,0.001407675947708487,0.005069777322169864,0.0,899.8566993756953,900.0373668974615,899.9026660149318,899.9713360155522
0.18,2.1044961574251015,-2.5283431928883632e-05,2.6285586197876873e-07,0.6247984080583421,0.00015478403956326048,0.00040264443223936297,0.0,-0.0007782455204932404,0.00010671270967507666,6.878666100172435,0.004290124772063968,0.002900572244321263,0.0,899.8118879852617,899.7239785180811,899.7081275352506,899.8247690175386
0.23999999999999996,2.1084036820923737,-0.00010804803333674707,2.3310057964068263e-05,1.1027460307060708,0.000377970525009097,0.0005931707657493845,0.0,-0.0020481148022900384,0.0007560630058506333,9.038482466845892,0.0025537939833183117,0.003719658528005291,0.0,899.8101786966513,899.8432701012484,899.7233440971761,899.6529598028083
0.3,2.113466476988922,-0.0002811932154720397,0.00010077222748355303,1.7071518110091037,0.000402531757990765,0.0005414062687219001,0.0,-0.003754050985310487,0.0018551154559494337,11.090801974858708,-0.004268069458145241,-0.012119810782621936,0.0,900.2206861786042,899.5794738652463,900.0200687740548,899.7438819453822
0.36000000000000004,2.1196243739108525,-0.0005372812099453233,0.00023893271486485353,2.4309434399587686,6.590732973510427e-05,6.282684996385436,0.0,-0.004458561039113669,0.0026343758555395095,13.015667961235605,-0.008440496863329061,-0.030733620378384216,0.0,900.1367349824045,899.3832436748443,899.9352323111921,899.7664107308924
0.4200000000000001,2.126808646674226,-0.0007444263528792385,0.000394808584923255,3.2660850992905424,6.282564082731206,6.280617306537236,0.0,-0.0017878894234337791,0.002357243531818757,14.800926072632569,-0.01828340545425625,-0.04321413618245699,0.0,900.1780585916506,899.6729025186696,900.0050888901219,899.6067147298044
0.48000000000000015,2.1349458389942315,-0.0006465265207194546,0.0004806025074841745,4.203946277920569,6.281214299317053,6.2777337434889215,0.0,0.00586848267513718,0.00012730076450342227,16.438879511927507,-0.032639562808700645,-0.060132088686393005,0.0,900.3868069845887,899.7017305317161,900.1262242503986,899.5451289835972
0.5400000000000001,2.14395964814024,8.938157404925041e-05,0.0003416795386777366,5.235587884663873,6.278880545082888,6.274247725613829,0.0,0.01960179274705784,-0.0053453951112739425,17.926856307510466,-0.055923646128069666,-0.054319587941970726,0.0,900.2275545206419,900.4623369870578,900.2078752040482,899.2648964729023
0.6000000000000002,2.1537536753971795,0.00182162492046789,-0.00026702184035378275,6.352066344960956,6.275208398098076,6.271208718146049,0.0,0.038815937723819235,-0.015823427414447706,19.267254509709616,-0.07469023042250689,-0.044171296056050996,0.0,900.2934940877187,900.703965602179,900.469412658271,899.7089684892277
0.6600000000000003,2.1642322476050166,0.004823603255681666,-0.0016936104077053607,7.544611316321237,6.270409080307404,6.268629833330797,0.0,0.06166942973394006,-0.032755967604443846,20.463366599988117,-0.09353937702177886,-0.04070239789212409,0.0,900.2754225410478,900.4158410521094,900.6401188901253,899.87542884836
0.7200000000000003,2.175320912130368,0.009272002201155835,-0.0043519292544144045,8.804797896146937,6.264665391371912,6.26618592188221,0.0,0.08690224871099976,-0.056965182805425015,21.52325670850178,-0.100507152807452,-0.04079083292799424,0.0,900.1749187161272,900.1713973368951,900.722250628395,900.4375575730099
0.7800000000000004,2.1869431864768636,0.015289204704979529,-0.00868190715427124,10.124750215588758,6.25842635579283,6.263692100933685,0.0,0.11390101498702687,-0.08839564081578641,22.457038972752766,-0.11204014805788426,-0.0431556924327815,0.0,900.5093721109789,900.4136972453416,900.8998375150667,900.4297060668705
0.8400000000000004,2.1990268125271126,0.022970062704414772,-0.015102481631265466,11.497146759608261,6.251181652063252,6.261190667058363,0.0,0.14231661348852687,-0.1266358989901101,23.273036671324054,-0.15038193397790686,-0.038910986928890785,0.0,900.2609508706448,900.4328176211825,901.2535633199241,899.6961203307468
0.9000000000000005,2.2115050355487496,0.03238784020837212,-0.024044969456745387,12.915304391856615,6.241751555441303,6.258932698787731,0.0,0.17170924347911964,-0.17274891172205684,23.98405818792134,-0.17633087636086708,-0.03519206572142729,0.0,900.340892614687,900.4915470793229,901.1381592656621,900.078028635029
0.9600000000000005,2.2243171470638945,0.043584627942794434,-0.03602595313772788,14.373241938081243,6.230819095173992,6.256994416192406,0.0,0.20154552504594564,-0.22802536957674355,24.600669769733305,-0.19777131450309754,-0.027079061197095446,0.0,900.3273354789915,900.6559093633406,901.0110517901624,900.1293766735242
1.0200000000000005,2.237407939246593,0.056570388005342365,-0.05161234909479465,15.865609390328256,6.218644216741405,6.255731469750486,0.0,0.23123946286704383,-0.2929864607676279,25.133295495397697,-0.2159291069952423,-0.0111134395337509,0.0,899.9781167335416,900.6247383373725,901.0456067699556,900.2930777312921
