time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.822640554618258e-08,2.5422180524782833e-07,10.002946842863798,6.28268683366705,6.88291699439958e-05,0.0,-5.537513397980913e-06,-6.30806474936891e-06,0.09822396439952481,-0.03531804728120324,0.003348218331968053,0.0,436.84103410672896,437.1200664981434,437.16445563770395,434.21217090243834
0.12000000000000001,-2.5832963949133134e-06,-1.8171743300093312e-05,10.011343040703446,6.2803879983950335,6.283033769322315,0.0,-8.382357378251808e-05,-0.0008270031284653668,0.1816387687408094,-0.04510167552934776,-0.02390478633217244,0.0,433.06859374528557,430.77061527418186,431.73824795920825,430.9113489009283
0.18,3.337082670414548e-06,-0.00015279486881793588,10.03057611931889,6.2781615091153355,6.281336055606923,0.0,0.0004796903401160803,-0.003972231471469252,0.45939214307601534,-0.024620180160717663,-0.03896446785628704,0.0,489.7891673263731,488.66787791120646,490.2701951987975,491.7887525714987
0.23999999999999996,7.539204969284332e-05,-0.0004922657136581809,10.059606432335586,6.276877173620351,6.279357191076521,0.0,0.002123947860789202,-0.007473114896480702,0.5082628690912968,-0.015647887153826503,-0.02311097241658246,0.0,419.5074112981213,420.88099233199733,420.61895034342905,421.3950958217124
0.3,0.00028756172002830166,-0.0010747655861828638,10.093165170221575,6.276142644551712,6.277795371075587,0.0,0.00509823370418407,-0.012028069227398542,0.610310994090184,-0.006178111550861485,-0.03262197460002905,0.0,438.27335459215686,437.4820983201223,437.4141070260753,438.2020078029369
0.36000000000000004,0.0007052906130070438,-0.0019353349058824105,10.131643233566896,6.2755764747184415,6.2762411029115945,0.0,0.00899259183765336,-0.01670155105845596,0.6722549641013473,-0.016912513799092494,-0.015045611703941704,0.0,424.49379443072877,425.9989525068412,425.3366405459384,424.4165693669708
0.4200000000000001,0.0013751891679717476,-0.00308036000075509,10.17264268588163,6.274276835758583,6.275000760409597,0.0,0.013431094560986723,-0.021568502317987407,0.6943785285998725,-0.03342895567213004,-0.03536514943652379,0.0,413.22438649724427,411.4294315866268,412.2803339649955,410.81855172301954
0.48000000000000015,0.0023681475185146116,-0.004576072954384083,10.218450844986045,6.272829903098593,6.272778819050423,0.0,0.01990028336470226,-0.028468687499955014,0.8324653457893221,-0.01004685518543728,-0.0405937595051653,0.0,449.13982512124153,448.714995792054,448.8360684507483,450.7293036141253
0.5400000000000001,0.0037875512550316084,-0.0065013597780260585,10.271490397289677,6.272282935634188,6.270071067526487,0.0,0.027673669939668185,-0.03576555918285616,0.9354369576622532,-0.0073167567583237655,-0.056235660293308606,0.0,439.3031038547334,438.00305278077803,438.41047500368734,438.6373458844251
0.6000000000000002,0.005767603434576986,-0.00890342667209332,10.333265169134563,6.271631581614335,6.267145266776376,0.0,0.03868458490573108,-0.04436290624906834,1.1235499630190604,-0.019089037827209148,-0.03692932574814781,0.0,464.37938487093436,465.889697393951,465.2275957844511,464.30516044986655
0.6600000000000003,0.008423143022666627,-0.011804476657147766,10.403344528726665,6.270264433034303,6.264697495092573,0.0,0.050064413744061745,-0.05246248985757976,1.2123325968895269,-0.031452109335882605,-0.04993767302518206,0.0,435.42551520661925,434.3350631144763,434.941362150357,433.90474731319597
0.7200000000000003,0.011855097735136082,-0.015250604813801362,10.480899240241287,6.268236267999571,6.261465544148766,0.0,0.06467439958195235,-0.06262267572632191,1.372635226138866,-0.03897454569453895,-0.06318010640757314,0.0,458.2209650121183,457.165253933353,456.9247989243607,456.32432672239565
0.7800000000000004,0.016238339093160924,-0.019353227841790936,10.568037002790046,6.265863163160095,6.258006685478758,0.0,0.08182848042761132,-0.07438914508938241,1.5317427902190253,-0.04073157399135678,-0.04840588576561291,0.0,458.0029105504426,459.1740863521053,455.8976297051994,455.756484157373
0.8400000000000004,0.021703255869960678,-0.02420078946228376,10.663907461698965,6.262917603284723,6.255810397909286,0.0,0.10059543430506501,-0.08746923063639017,1.663742901853271,-0.0764194101013615,-0.019817997926219907,0.0,448.4916453072522,450.8066008860998,450.5026930948447,447.6061074849128
0.9000000000000005,0.02833983225195846,-0.02990893684382216,10.767862352740346,6.258592357938145,6.2550617142037765,0.0,0.12071865521041582,-0.10327581737391998,1.8011984644857726,-0.06459328333554537,-0.000809539951154065,0.0,450.64935055500047,452.18319798329793,451.036618702926,451.98666033311576
0.9600000000000005,0.03613732647509141,-0.03660466713923795,10.877985592445143,6.254575622407117,6.255229934781974,0.0,0.13918754936916503,-0.12029605090660928,1.8694551054912814,-0.07211972207473756,0.00919625564093205,0.0,429.31604461099863,430.1640842860635,430.76244325437784,430.12201604604115
1.0200000000000005,0.0451186160671874,-0.04448838703219375,10.995133484899204,6.250463941021248,6.256256288070517,0.0,0.16008820608868654,-0.14295704913665094,2.035180070638452,-0.062172606728804654,0.02949190181848806,0.0,459.7616618944023,461.36670062167343,460.68923031062945,461.4716295061749
1.0800000000000005,0.055357379607331676,-0.053864588276208776,11.123476451158458,6.246704991476815,6.259170421286365,0.0,0.18089896416074702,-0.17001203472058918,2.24252508964893,-0.0636192589739209,0.07179892567622442,0.0,472.06941510218917,475.32366435936393,474.03905672489026,473.92531339870925
1.1400000000000006,0.0666989580850223,-0.06484719790743307,11.261381492709566,6.243050410775805,6.263187239810989,0.0,0.19671274643420195,-0.1964542981744269,2.3540791280599875,-0.05597923434377878,0.05485669785787522,0.0,445.832126126934,444.44902775479886,445.8109179304991,446.4320679643518
